               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.053254,            0.013687,                   0,             0.88677,             0.78317,             0.87356,               0.386,            0.034038,           0.0084482,                   0,            0.003027,            0.003027,            0.068027
                  39,            0.053293,            0.013169,                   0,             0.70958,             0.73299,             0.69991,             0.28058,            0.037053,             0.00841,                   0,           0.0030804,           0.0030804,             0.06718
                  40,            0.050756,            0.014381,                   0,             0.97871,             0.76667,             0.90855,             0.41501,             0.03598,           0.0083134,                   0,           0.0031321,           0.0031321,            0.066332
                  41,            0.052318,            0.014254,                   0,              0.7258,             0.74998,             0.70357,             0.31615,            0.038523,           0.0081601,                   0,            0.003182,            0.003182,            0.065482
                  42,            0.052376,            0.013415,                   0,             0.95863,             0.78333,             0.91228,             0.42749,             0.03414,            0.008094,                   0,           0.0032302,           0.0032302,             0.06463
                  43,            0.050581,            0.013887,                   0,             0.65134,             0.71667,             0.71002,             0.26506,            0.038684,           0.0080064,                   0,           0.0032766,           0.0032766,            0.063777
                  44,            0.045759,            0.014026,                   0,             0.92449,             0.81626,             0.91417,             0.42914,            0.035414,           0.0081406,                   0,           0.0033212,           0.0033212,            0.062921
                  45,            0.046357,            0.012439,                   0,             0.68178,             0.74987,              0.7274,             0.29232,             0.03789,           0.0079224,                   0,           0.0033639,           0.0033639,            0.062064
                  46,            0.046991,            0.013844,                   0,             0.84207,             0.79979,             0.88755,             0.40102,            0.035265,           0.0077244,                   0,           0.0034048,           0.0034048,            0.061205
                  47,            0.050255,            0.013898,                   0,              0.8545,             0.78333,             0.87784,             0.38445,            0.034269,           0.0077866,                   0,           0.0034438,           0.0034438,            0.060344
                  48,            0.049509,            0.013797,                   0,             0.79962,             0.86667,             0.89735,             0.38287,             0.03494,           0.0079493,                   0,           0.0034809,           0.0034809,            0.059481
                  49,            0.045892,            0.012477,                   0,             0.76802,             0.88289,             0.88995,             0.38276,            0.034532,           0.0078404,                   0,           0.0035162,           0.0035162,            0.058616
                  50,            0.044117,            0.012823,                   0,             0.83046,             0.81641,             0.87096,             0.37724,            0.036728,           0.0081145,                   0,           0.0035495,           0.0035495,             0.05775
                  51,             0.04779,            0.011649,                   0,             0.69647,             0.73333,             0.71552,             0.23857,             0.04109,            0.007824,                   0,           0.0035809,           0.0035809,            0.056881
                  52,            0.047732,            0.012076,                   0,             0.97967,             0.81667,              0.9328,             0.46216,            0.034039,           0.0077246,                   0,           0.0036104,           0.0036104,             0.05601
                  53,            0.048964,            0.012667,                   0,             0.84186,                 0.8,             0.85938,             0.34214,            0.037797,           0.0073805,                   0,           0.0036379,           0.0036379,            0.055138
                  54,             0.04409,            0.015041,                   0,             0.87595,             0.83333,              0.8846,             0.40564,             0.03549,           0.0076055,                   0,           0.0036635,           0.0036635,            0.054264
                  55,            0.044338,            0.012253,                   0,             0.81347,             0.79955,             0.84875,             0.33125,             0.04017,            0.007529,                   0,           0.0036871,           0.0036871,            0.053387
                  56,            0.056095,            0.012388,                   0,             0.73456,             0.83333,             0.80381,             0.32404,            0.034505,           0.0079769,                   0,           0.0037088,           0.0037088,            0.052509
                  57,            0.050871,            0.014631,                   0,             0.86765,             0.76667,             0.82434,              0.3958,              0.0359,           0.0075701,                   0,           0.0037286,           0.0037286,            0.051629
                  58,             0.04719,            0.011617,                   0,             0.79632,             0.78333,             0.83411,             0.32944,            0.037811,           0.0077195,                   0,           0.0037463,           0.0037463,            0.050746
                  59,             0.05064,            0.013082,                   0,             0.89994,             0.74953,             0.83145,             0.34702,            0.037485,           0.0075452,                   0,           0.0037622,           0.0037622,            0.049862
                  60,            0.050052,            0.011421,                   0,             0.84977,                0.85,             0.87199,             0.38992,            0.033655,           0.0077999,                   0,            0.003776,            0.003776,            0.048976
                  61,             0.04784,            0.011739,                   0,             0.87499,             0.81657,              0.8814,             0.41158,            0.034076,           0.0078324,                   0,            0.003788,            0.003788,            0.048088
                  62,            0.048212,            0.011101,                   0,             0.87716,             0.83306,             0.90343,             0.45082,            0.034433,           0.0075139,                   0,           0.0037979,           0.0037979,            0.047198
                  63,            0.043537,            0.012806,                   0,             0.89472,             0.84986,             0.91518,             0.44468,            0.033241,            0.007405,                   0,            0.003806,            0.003806,            0.046306
                  64,            0.045004,            0.011224,                   0,             0.91033,                0.85,             0.93807,             0.41912,            0.033856,           0.0074121,                   0,           0.0038121,           0.0038121,            0.045412
                  65,             0.05122,            0.012577,                   0,             0.97953,                 0.8,             0.92054,             0.43233,            0.034669,           0.0072647,                   0,           0.0038163,           0.0038163,            0.044516
                  66,            0.043217,            0.012597,                   0,             0.92726,             0.84986,             0.92009,             0.44514,            0.033954,           0.0072547,                   0,           0.0038186,           0.0038186,            0.043619
                  67,            0.046835,            0.011861,                   0,             0.86633,             0.86667,             0.91762,             0.44207,            0.032973,           0.0070695,                   0,            0.003819,            0.003819,            0.042719
                  68,            0.041812,            0.012604,                   0,             0.92574,             0.83333,             0.92323,             0.46721,            0.032725,           0.0069357,                   0,           0.0038176,           0.0038176,            0.041818
                  69,            0.045763,             0.01161,                   0,              0.9434,             0.83333,             0.92772,              0.4574,             0.03324,           0.0069403,                   0,           0.0038143,           0.0038143,            0.040914
                  70,            0.043082,            0.012241,                   0,             0.91066,                0.85,             0.92601,             0.43376,            0.035391,           0.0068591,                   0,           0.0038091,           0.0038091,            0.040009
                  71,            0.048981,            0.011624,                   0,             0.88095,             0.86667,             0.91326,             0.46458,            0.034622,           0.0071112,                   0,           0.0038021,           0.0038021,            0.039102
                  72,            0.041868,            0.011724,                   0,             0.85704,             0.89924,             0.93998,             0.42352,            0.034778,           0.0071595,                   0,           0.0037934,           0.0037934,            0.038193
                  73,            0.044491,            0.011547,                   0,             0.91043,                0.85,             0.91627,              0.4091,            0.035813,           0.0073325,                   0,           0.0037828,           0.0037828,            0.037283
                  74,            0.041939,            0.011779,                   0,             0.87299,             0.91646,             0.92234,             0.43201,             0.03427,           0.0072653,                   0,           0.0037705,           0.0037705,            0.036371
                  75,            0.048005,            0.010259,                   0,             0.86193,             0.83333,             0.85893,               0.402,            0.035534,           0.0075697,                   0,           0.0037565,           0.0037565,            0.035457
                  76,            0.043283,            0.011892,                   0,             0.85713,             0.79993,             0.87915,             0.42456,            0.034506,           0.0070195,                   0,           0.0037408,           0.0037408,            0.034541
                  77,            0.042329,            0.011884,                   0,             0.97999,             0.81646,             0.92927,             0.39298,            0.037857,           0.0070609,                   0,           0.0037234,           0.0037234,            0.033623
                  78,             0.04626,            0.011279,                   0,             0.88333,             0.88331,             0.92982,             0.43758,            0.033914,           0.0069546,                   0,           0.0037044,           0.0037044,            0.032704
                  79,            0.045519,            0.010647,                   0,             0.86631,             0.86667,             0.89819,             0.42207,            0.033805,           0.0070409,                   0,           0.0036838,           0.0036838,            0.031784
                  80,            0.038249,            0.011885,                   0,             0.91052,                0.85,             0.90971,             0.42337,            0.033046,           0.0069039,                   0,           0.0036616,           0.0036616,            0.030862
                  81,            0.040858,            0.011079,                   0,             0.95977,                 0.8,             0.91776,              0.4431,            0.035248,            0.007004,                   0,           0.0036378,           0.0036378,            0.029938
                  82,            0.039501,            0.010752,                   0,             0.97959,             0.79992,             0.93739,             0.43675,            0.034585,           0.0069563,                   0,           0.0036126,           0.0036126,            0.029013
                  83,            0.038675,            0.011338,                   0,             0.96025,             0.81667,             0.91729,             0.43742,            0.034439,           0.0069703,                   0,           0.0035859,           0.0035859,            0.028086
                  84,            0.040441,            0.010989,                   0,             0.84613,             0.91653,             0.91764,             0.40459,            0.036048,           0.0067881,                   0,           0.0035578,           0.0035578,            0.027158
                  85,            0.042443,            0.011621,                   0,             0.88709,             0.91658,              0.9412,             0.46449,            0.032533,           0.0066966,                   0,           0.0035283,           0.0035283,            0.026228
                  86,            0.038095,            0.011119,                   0,             0.80299,             0.88313,             0.89479,             0.43636,             0.03312,           0.0066636,                   0,           0.0034974,           0.0034974,            0.025297
                  87,            0.041046,            0.011405,                   0,             0.95887,             0.78333,             0.89491,             0.42775,            0.032844,           0.0066322,                   0,           0.0034653,           0.0034653,            0.024365
                  88,            0.037283,            0.011675,                   0,              0.9245,             0.81637,             0.91056,               0.449,            0.031874,           0.0066871,                   0,           0.0034319,           0.0034319,            0.023432
                  89,             0.03785,            0.011258,                   0,             0.94442,             0.84965,             0.90943,             0.45401,            0.033333,           0.0071336,                   0,           0.0033973,           0.0033973,            0.022497
