               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.051662,            0.013571,                   0,             0.87664,             0.83333,             0.89784,             0.37353,            0.037104,           0.0088897,                   0,            0.003027,            0.003027,            0.068027
                  39,            0.052357,            0.013049,                   0,              0.9017,             0.76667,             0.84004,             0.35273,            0.037303,           0.0086489,                   0,           0.0030804,           0.0030804,             0.06718
                  40,            0.049884,            0.014436,                   0,             0.83017,             0.73324,              0.8155,              0.3881,            0.037276,           0.0084112,                   0,           0.0031321,           0.0031321,            0.066332
                  41,            0.054644,             0.01403,                   0,             0.65027,             0.68333,              0.6852,             0.21356,            0.043084,            0.007908,                   0,            0.003182,            0.003182,            0.065482
                  42,            0.053133,            0.013778,                   0,             0.91021,                0.85,             0.91674,             0.41677,            0.035623,           0.0082624,                   0,           0.0032302,           0.0032302,             0.06463
                  43,            0.049677,            0.014141,                   0,             0.77029,             0.78246,             0.83628,             0.32622,            0.039083,           0.0078788,                   0,           0.0032766,           0.0032766,            0.063777
                  44,            0.049188,            0.013967,                   0,             0.92307,             0.79993,             0.91104,             0.44602,            0.034663,           0.0079641,                   0,           0.0033212,           0.0033212,            0.062921
                  45,            0.046356,            0.012715,                   0,             0.88426,             0.76406,             0.89061,             0.37769,            0.036842,           0.0078748,                   0,           0.0033639,           0.0033639,            0.062064
                  46,            0.046595,            0.013988,                   0,             0.88457,             0.76635,             0.87601,             0.35571,             0.03735,           0.0080504,                   0,           0.0034048,           0.0034048,            0.061205
                  47,             0.04895,            0.013916,                   0,             0.82251,             0.84957,             0.89403,             0.37977,            0.035653,           0.0078788,                   0,           0.0034438,           0.0034438,            0.060344
                  48,            0.049285,            0.013566,                   0,             0.82239,             0.84889,             0.90438,             0.41873,            0.035814,           0.0078589,                   0,           0.0034809,           0.0034809,            0.059481
                  49,            0.045228,            0.012715,                   0,              0.7285,                0.85,             0.82082,             0.34636,            0.036593,           0.0078327,                   0,           0.0035162,           0.0035162,            0.058616
                  50,            0.046681,            0.012814,                   0,             0.80938,                0.85,             0.87012,             0.37696,             0.03612,           0.0079617,                   0,           0.0035495,           0.0035495,             0.05775
                  51,            0.047734,            0.011789,                   0,             0.86271,              0.7331,             0.85638,             0.27171,            0.041542,           0.0079412,                   0,           0.0035809,           0.0035809,            0.056881
                  52,            0.044637,            0.012414,                   0,             0.92542,             0.83333,             0.92522,             0.41838,             0.03656,           0.0079908,                   0,           0.0036104,           0.0036104,             0.05601
                  53,            0.047636,            0.012682,                   0,             0.89086,             0.81628,             0.90568,             0.43543,            0.036087,           0.0079209,                   0,           0.0036379,           0.0036379,            0.055138
                  54,            0.042941,            0.015173,                   0,             0.88333,             0.88333,             0.93698,             0.42047,            0.034252,           0.0079206,                   0,           0.0036635,           0.0036635,            0.054264
                  55,            0.042621,            0.012472,                   0,              0.7215,                 0.7,             0.74465,             0.31946,            0.038537,           0.0076405,                   0,           0.0036871,           0.0036871,            0.053387
                  56,            0.055287,            0.012231,                   0,             0.70951,             0.86667,             0.84004,             0.38376,            0.036117,           0.0078842,                   0,           0.0037088,           0.0037088,            0.052509
                  57,             0.05026,            0.014471,                   0,             0.69659,             0.76667,             0.74476,             0.31542,            0.037662,            0.007795,                   0,           0.0037286,           0.0037286,            0.051629
                  58,            0.048449,            0.011638,                   0,             0.86091,             0.83333,             0.90684,             0.37858,            0.036948,           0.0078901,                   0,           0.0037463,           0.0037463,            0.050746
                  59,            0.048655,            0.013219,                   0,              0.8702,             0.78215,               0.869,             0.32504,            0.039046,           0.0079138,                   0,           0.0037622,           0.0037622,            0.049862
                  60,            0.051928,            0.011472,                   0,             0.82249,             0.84947,             0.87149,             0.37818,            0.034845,           0.0081168,                   0,            0.003776,            0.003776,            0.048976
                  61,            0.043792,            0.012325,                   0,             0.90695,             0.81667,             0.91739,             0.41925,            0.033805,           0.0079986,                   0,            0.003788,            0.003788,            0.048088
                  62,             0.04899,            0.011207,                   0,             0.93748,             0.74978,             0.90263,             0.41305,            0.035072,           0.0078148,                   0,           0.0037979,           0.0037979,            0.047198
                  63,             0.04273,            0.012738,                   0,              0.7308,             0.81667,             0.77743,             0.33506,            0.036547,           0.0077383,                   0,            0.003806,            0.003806,            0.046306
                  64,             0.04573,            0.011228,                   0,             0.95724,                0.75,             0.89994,             0.45031,            0.035368,           0.0074147,                   0,           0.0038121,           0.0038121,            0.045412
                  65,            0.050683,             0.01274,                   0,             0.97959,             0.79998,             0.92744,              0.3867,            0.035993,           0.0074858,                   0,           0.0038163,           0.0038163,            0.044516
                  66,            0.043066,            0.012438,                   0,             0.95893,             0.78333,             0.88768,             0.39788,            0.034581,           0.0075138,                   0,           0.0038186,           0.0038186,            0.043619
                  67,            0.048787,            0.011979,                   0,             0.96038,             0.81667,             0.91933,             0.43164,            0.035841,           0.0073153,                   0,            0.003819,            0.003819,            0.042719
                  68,            0.042438,            0.012939,                   0,             0.88288,             0.88333,             0.91461,             0.42952,            0.033867,           0.0072773,                   0,           0.0038176,           0.0038176,            0.041818
                  69,            0.046819,            0.011687,                   0,             0.89472,             0.84988,             0.92348,             0.45156,            0.034102,           0.0071527,                   0,           0.0038143,           0.0038143,            0.040914
                  70,            0.041904,            0.012507,                   0,             0.87861,                0.85,             0.91776,             0.42155,            0.034469,           0.0073243,                   0,           0.0038091,           0.0038091,            0.040009
                  71,            0.045571,            0.011652,                   0,             0.88321,             0.88333,             0.93371,             0.43588,            0.035698,           0.0072882,                   0,           0.0038021,           0.0038021,            0.039102
                  72,              0.0412,            0.011706,                   0,             0.92571,             0.83333,             0.90139,             0.45888,            0.034732,           0.0072429,                   0,           0.0037934,           0.0037934,            0.038193
                  73,            0.045487,            0.011561,                   0,             0.92452,             0.81656,             0.90985,             0.46318,            0.035366,           0.0072358,                   0,           0.0037828,           0.0037828,            0.037283
                  74,            0.040023,             0.01175,                   0,             0.87395,             0.81667,             0.89277,             0.41752,            0.034183,           0.0071516,                   0,           0.0037705,           0.0037705,            0.036371
                  75,            0.047298,            0.010331,                   0,             0.93999,              0.7832,             0.89736,              0.4075,            0.034808,           0.0072185,                   0,           0.0037565,           0.0037565,            0.035457
                  76,            0.042484,            0.011442,                   0,             0.88133,             0.86647,             0.91662,             0.42297,            0.034008,           0.0070607,                   0,           0.0037408,           0.0037408,            0.034541
                  77,            0.045242,            0.011705,                   0,             0.94217,             0.81667,             0.93662,             0.40174,            0.037293,           0.0069993,                   0,           0.0037234,           0.0037234,            0.033623
                  78,            0.046587,            0.011317,                   0,              0.9618,                0.85,             0.94294,              0.4524,            0.033521,           0.0069443,                   0,           0.0037044,           0.0037044,            0.032704
                  79,            0.044871,            0.010784,                   0,             0.88294,             0.88333,              0.9305,             0.41629,            0.034153,           0.0070353,                   0,           0.0036838,           0.0036838,            0.031784
                  80,            0.038209,            0.011897,                   0,             0.85935,             0.91647,             0.92798,             0.45547,             0.03401,           0.0070312,                   0,           0.0036616,           0.0036616,            0.030862
                  81,             0.04156,            0.010919,                   0,             0.94225,             0.81588,              0.9154,                0.43,            0.035309,           0.0069973,                   0,           0.0036378,           0.0036378,            0.029938
                  82,            0.040757,            0.010798,                   0,             0.94208,             0.81667,             0.92132,             0.44146,            0.034604,           0.0070444,                   0,           0.0036126,           0.0036126,            0.029013
                  83,            0.037507,            0.011274,                   0,             0.95901,             0.78333,             0.92074,             0.42672,            0.035217,           0.0071008,                   0,           0.0035859,           0.0035859,            0.028086
                  84,            0.039324,            0.011011,                   0,             0.90377,             0.78333,             0.89369,             0.46326,            0.033641,           0.0068359,                   0,           0.0035578,           0.0035578,            0.027158
                  85,            0.039756,             0.01161,                   0,             0.86665,             0.86657,              0.8967,             0.45172,              0.0318,           0.0068321,                   0,           0.0035283,           0.0035283,            0.026228
                  86,            0.037367,             0.01099,                   0,             0.89284,             0.83319,             0.89472,             0.42107,            0.032032,           0.0069761,                   0,           0.0034974,           0.0034974,            0.025297
                  87,            0.039142,            0.011395,                   0,              0.8983,             0.88327,              0.9183,             0.44576,            0.031312,            0.006859,                   0,           0.0034653,           0.0034653,            0.024365
                  88,            0.037343,            0.011602,                   0,             0.84731,             0.83333,             0.87604,             0.45399,            0.031823,            0.006767,                   0,           0.0034319,           0.0034319,            0.023432
                  89,            0.039371,            0.011121,                   0,             0.84957,                0.85,             0.89582,             0.46064,            0.031687,           0.0069085,                   0,           0.0033973,           0.0033973,            0.022497
                  90,            0.036903,            0.010457,                   0,             0.82243,                0.85,             0.88051,             0.41246,            0.034646,           0.0070246,                   0,           0.0033615,           0.0033615,            0.021562
                  91,            0.038682,            0.010479,                   0,              0.8385,             0.86667,             0.89217,             0.44912,            0.034257,           0.0070851,                   0,           0.0033246,           0.0033246,            0.020625
                  92,            0.037025,            0.011012,                   0,             0.92149,             0.78245,             0.87508,             0.44156,             0.03389,           0.0071891,                   0,           0.0032867,           0.0032867,            0.019687
                  93,            0.042676,            0.010495,                   0,             0.94227,             0.81611,             0.91402,             0.38918,            0.036539,           0.0071109,                   0,           0.0032477,           0.0032477,            0.018748
                  94,            0.041116,            0.010298,                   0,             0.82798,             0.88333,             0.89302,             0.40953,            0.035443,           0.0069787,                   0,           0.0032078,           0.0032078,            0.017808
                  95,            0.038011,            0.011725,                   0,             0.87035,             0.78316,             0.87567,             0.41298,            0.034786,           0.0073092,                   0,           0.0031669,           0.0031669,            0.016867
                  96,             0.03686,            0.011437,                   0,             0.86205,             0.83321,              0.9041,             0.37649,            0.036383,           0.0076619,                   0,           0.0031252,           0.0031252,            0.015925
                  97,            0.037428,            0.010408,                   0,             0.92355,             0.81667,             0.91446,              0.4203,            0.034062,           0.0074197,                   0,           0.0030827,           0.0030827,            0.014983
                  98,            0.041685,                0.01,                   0,             0.86664,             0.86649,             0.89673,             0.43576,            0.033218,           0.0070789,                   0,           0.0030395,           0.0030395,            0.014039
                  99,            0.038103,            0.011123,                   0,             0.89654,             0.86654,             0.91085,             0.45906,            0.032869,           0.0070433,                   0,           0.0029956,           0.0029956,            0.013096
                 100,            0.035817,            0.010232,                   0,             0.92846,             0.86667,             0.91522,             0.45216,            0.033746,           0.0069365,                   0,            0.002951,            0.002951,            0.012151
                 101,            0.036096,             0.01048,                   0,             0.89257,             0.83333,             0.89511,             0.39948,             0.03478,           0.0070258,                   0,           0.0029059,           0.0029059,            0.011206
                 102,            0.038525,           0.0098541,                   0,             0.96047,             0.81667,             0.90727,             0.47179,            0.033458,           0.0069199,                   0,           0.0028602,           0.0028602,             0.01026
                 103,            0.034468,            0.010489,                   0,              0.8983,             0.88333,             0.92114,             0.49633,            0.032331,           0.0068302,                   0,           0.0028141,           0.0028141,           0.0093141
                 104,            0.036813,            0.010934,                   0,             0.89652,             0.86667,             0.91482,             0.44989,            0.033729,           0.0068164,                   0,           0.0027676,           0.0027676,           0.0083676
                 105,            0.040608,           0.0096179,                   0,             0.91227,             0.86655,             0.91994,             0.46788,            0.031323,           0.0067015,                   0,           0.0027208,           0.0027208,           0.0074208
                 106,            0.037835,            0.011043,                   0,             0.89283,             0.83313,             0.90356,             0.44068,            0.032031,           0.0067147,                   0,           0.0026737,           0.0026737,           0.0064737
                 107,            0.034127,            0.010263,                   0,             0.90626,             0.81667,             0.89873,             0.35382,             0.03214,           0.0066956,                   0,           0.0026264,           0.0026264,           0.0055264
                 108,            0.033979,            0.010019,                   0,             0.96132,             0.83333,             0.92196,              0.4573,            0.031017,           0.0067538,                   0,            0.002579,            0.002579,            0.004579
                 109,            0.035472,            0.010303,                   0,             0.88324,             0.88333,             0.91495,             0.47446,            0.030427,           0.0068779,                   0,           0.0025315,           0.0025315,           0.0036315
                 110,            0.036771,            0.010441,                   0,             0.96078,             0.81665,             0.90548,             0.46802,            0.031638,           0.0068548,                   0,           0.0024839,           0.0024839,           0.0026839
                 111,            0.033499,            0.010471,                   0,             0.95999,             0.79985,             0.90897,             0.46764,            0.031035,           0.0070977,                   0,           0.0024195,           0.0024195,           0.0024195
                 112,            0.034319,            0.010294,                   0,             0.90837,             0.83333,             0.91812,             0.47129,            0.030429,           0.0071739,                   0,           0.0024195,           0.0024195,           0.0024195
                 113,            0.038153,            0.010383,                   0,             0.93999,             0.78319,             0.90205,             0.46251,            0.032267,           0.0071202,                   0,           0.0023515,           0.0023515,           0.0023515
                 114,            0.034381,            0.010169,                   0,             0.92305,              0.7997,             0.88128,             0.43843,             0.03237,           0.0069751,                   0,           0.0022849,           0.0022849,           0.0022849
                 115,            0.032278,            0.010406,                   0,             0.92558,             0.83333,             0.91356,             0.44799,            0.031658,            0.006911,                   0,           0.0022196,           0.0022196,           0.0022196
                 116,            0.034282,            0.010174,                   0,             0.92452,             0.81654,             0.88874,             0.44464,            0.031436,           0.0068894,                   0,           0.0021558,           0.0021558,           0.0021558
                 117,            0.033642,           0.0096319,                   0,             0.92575,             0.83333,              0.9064,             0.42842,            0.032216,           0.0069496,                   0,           0.0020935,           0.0020935,           0.0020935
                 118,            0.031937,           0.0097186,                   0,             0.92591,             0.83333,             0.92669,             0.44727,             0.03094,           0.0067921,                   0,           0.0020327,           0.0020327,           0.0020327
                 119,            0.034719,           0.0096625,                   0,              0.9444,             0.84923,             0.92062,             0.44958,              0.0308,           0.0067658,                   0,           0.0019734,           0.0019734,           0.0019734
                 120,            0.033319,           0.0095838,                   0,             0.92726,              0.8499,             0.92388,              0.4784,             0.03066,           0.0068265,                   0,           0.0019156,           0.0019156,           0.0019156
                 121,            0.033683,           0.0099582,                   0,             0.91045,                0.85,             0.92596,             0.46411,             0.03029,           0.0068202,                   0,           0.0018594,           0.0018594,           0.0018594
                 122,            0.033373,           0.0092134,                   0,             0.91063,                0.85,             0.93186,             0.46958,              0.0307,           0.0068849,                   0,           0.0018048,           0.0018048,           0.0018048
                 123,            0.031192,            0.010553,                   0,             0.91058,                0.85,             0.93461,             0.44459,            0.031277,           0.0069606,                   0,           0.0017519,           0.0017519,           0.0017519
                 124,            0.030978,            0.010369,                   0,             0.91059,                0.85,             0.93384,             0.47469,            0.030566,           0.0069465,                   0,           0.0017005,           0.0017005,           0.0017005
                 125,            0.033319,            0.010299,                   0,             0.94091,                 0.8,             0.91365,             0.45731,            0.030519,           0.0069116,                   0,           0.0016509,           0.0016509,           0.0016509
                 126,            0.032995,           0.0098295,                   0,             0.94194,             0.81667,             0.93797,             0.46812,            0.030431,           0.0068266,                   0,           0.0016029,           0.0016029,           0.0016029
                 127,            0.031464,            0.009753,                   0,             0.92725,             0.84974,             0.92974,             0.45439,            0.031792,           0.0067904,                   0,           0.0015566,           0.0015566,           0.0015566
                 128,              0.0327,           0.0090837,                   0,             0.92705,                0.85,               0.936,              0.4537,            0.031735,            0.006847,                   0,           0.0015121,           0.0015121,           0.0015121
