               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.050878,            0.019009,                   0,             0.72719,             0.64819,             0.69183,             0.26783,            0.051348,            0.013373,                   0,           0.0088579,           0.0088579,           0.0088579
                  39,            0.050144,            0.019037,                   0,             0.69784,             0.68017,             0.70049,             0.27148,            0.051652,            0.013163,                   0,           0.0087987,           0.0087987,           0.0087987
                  40,            0.050685,            0.018314,                   0,             0.66738,             0.66311,             0.69284,             0.25099,            0.052487,            0.013362,                   0,           0.0087382,           0.0087382,           0.0087382
                  41,            0.050095,            0.018555,                   0,             0.73582,             0.65245,             0.72929,             0.28727,            0.051374,            0.012823,                   0,           0.0086765,           0.0086765,           0.0086765
                  42,            0.050053,            0.019051,                   0,             0.71711,              0.6226,             0.69656,             0.26353,            0.051942,            0.013403,                   0,           0.0086137,           0.0086137,           0.0086137
                  43,            0.049113,            0.018377,                   0,             0.69634,             0.69083,             0.70011,              0.2667,            0.052147,            0.012927,                   0,           0.0085497,           0.0085497,           0.0085497
                  44,            0.048718,            0.018631,                   0,             0.68173,             0.72921,             0.73452,             0.27648,            0.051386,            0.012685,                   0,           0.0084846,           0.0084846,           0.0084846
                  45,            0.047481,            0.017995,                   0,             0.64976,             0.68017,              0.6859,             0.26088,            0.053281,            0.013021,                   0,           0.0084184,           0.0084184,           0.0084184
                  46,            0.048907,            0.018614,                   0,             0.68222,              0.5905,             0.65366,             0.24782,            0.053976,            0.013659,                   0,           0.0083511,           0.0083511,           0.0083511
                  47,            0.049707,             0.01766,                   0,             0.63856,             0.67429,             0.67859,             0.25327,            0.052395,            0.013433,                   0,           0.0082829,           0.0082829,           0.0082829
                  48,            0.048674,            0.017613,                   0,             0.74021,             0.65672,             0.72053,             0.27953,            0.051037,            0.012892,                   0,           0.0082136,           0.0082136,           0.0082136
                  49,            0.048827,            0.018295,                   0,              0.7345,             0.63753,             0.69452,             0.27472,            0.050839,            0.013558,                   0,           0.0081433,           0.0081433,           0.0081433
                  50,            0.048014,            0.018382,                   0,             0.68827,             0.69204,             0.72615,             0.27449,            0.051331,            0.013049,                   0,           0.0080721,           0.0080721,           0.0080721
                  51,            0.047496,            0.017671,                   0,             0.69374,             0.69083,             0.71307,             0.27015,            0.051411,            0.013156,                   0,               0.008,               0.008,               0.008
                  52,            0.046951,            0.018664,                   0,             0.67452,             0.72027,             0.73554,             0.27966,            0.050242,            0.012977,                   0,            0.007927,            0.007927,            0.007927
                  53,            0.048003,            0.017911,                   0,             0.78645,             0.62034,             0.70566,             0.27006,            0.051072,            0.013474,                   0,           0.0078532,           0.0078532,           0.0078532
                  54,            0.047713,            0.018327,                   0,             0.73369,             0.73348,             0.76559,             0.28707,            0.050503,            0.012802,                   0,           0.0077785,           0.0077785,           0.0077785
                  55,            0.046665,            0.018483,                   0,             0.70282,             0.71642,             0.72408,             0.26166,             0.05152,            0.012956,                   0,           0.0077031,           0.0077031,           0.0077031
                  56,            0.046491,             0.01854,                   0,             0.73861,             0.72902,             0.76238,             0.29304,            0.049727,            0.012749,                   0,           0.0076269,           0.0076269,           0.0076269
                  57,            0.046104,             0.01828,                   0,             0.69072,             0.72068,             0.72627,              0.2786,            0.050889,            0.013274,                   0,           0.0075501,           0.0075501,           0.0075501
                  58,            0.046453,            0.018351,                   0,             0.71274,             0.70361,             0.72871,             0.27997,            0.051309,            0.012773,                   0,           0.0074725,           0.0074725,           0.0074725
                  59,              0.0471,            0.017729,                   0,             0.78274,             0.66098,             0.73561,             0.28053,            0.050508,            0.012709,                   0,           0.0073943,           0.0073943,           0.0073943
                  60,            0.046263,            0.017314,                   0,             0.76438,             0.69296,             0.75544,             0.30016,            0.048983,            0.012555,                   0,           0.0073155,           0.0073155,           0.0073155
                  61,            0.046048,            0.017491,                   0,              0.7435,             0.71215,             0.74823,             0.29203,            0.049582,            0.012738,                   0,           0.0072361,           0.0072361,           0.0072361
                  62,             0.04643,            0.017824,                   0,             0.69597,              0.6887,             0.70535,             0.28047,            0.050304,             0.01304,                   0,           0.0071561,           0.0071561,           0.0071561
                  63,             0.04569,            0.017518,                   0,             0.76746,             0.62629,             0.69313,             0.26905,             0.05127,            0.013188,                   0,           0.0070757,           0.0070757,           0.0070757
                  64,            0.044961,            0.017489,                   0,             0.71035,             0.71642,              0.7199,             0.28109,            0.050223,            0.012923,                   0,           0.0069948,           0.0069948,           0.0069948
                  65,             0.04497,            0.018574,                   0,             0.72935,             0.70099,             0.71428,             0.28996,            0.049969,             0.01294,                   0,           0.0069134,           0.0069134,           0.0069134
                  66,            0.045221,            0.018334,                   0,             0.75913,             0.69886,             0.75552,             0.30369,            0.049317,            0.012498,                   0,           0.0068316,           0.0068316,           0.0068316
